Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf Sr,Lloyd K Smucker,John T. Yudichak,Jeffrey E. Piccola,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Mary Jo White,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Edwin B Erickson,John R. Gordner,Michael L Waugh,David G. Argall,John H Eichelberger Jr.,Patricia H Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N Wozniak,Michael W Brubaker,John R. Pippy,James Ferlo,Kim L. Ward,Randy Vulakovich,Jane Clare Orie,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Timothy J. Solobay,Elder A. Vogel,Michael J Folmer,Jane M Earll,Robert D. Robbins
"SB 405 PN 1534, A5908, BLAKE AMENDMENT NO. A-5908",515,2012-02-08,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,N,N,Y,Y,N,Y,Y,N,N,N,N
"APPROVAL OF THE JOURNAL FOR DECEMBER 14 AND 22, 2011",514,2012-02-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),519,2012-03-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1049 PN 1717, FINAL PASSAGE",518,2012-03-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF JOURNAL FOR JANUARY 3, 2012",517,2012-03-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
SR 65 PN 969,525,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1372 PN 1885, FINAL PASSAGE",524,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1324 PN 1976, FINAL PASSAGE",523,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1302 PN 1831, FINAL PASSAGE",522,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1301 PN 1803, FINAL PASSAGE",521,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR JANUARY 17, 2012",520,2012-03-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 934 PN 3166, FINAL PASSAGE",555,2012-03-07,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,,X,Y,N,N,Y,N,N,Y,Y,N,Y
"HB 934 PN 3166, A9029, SOLOBAY AMENDMENT NO. A-9029",554,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9063, HUGHES AMENDMENT NO. A-9063",553,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9049, HUGHES AMENDMENT NO. A-9049",552,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,Y,N,N,N
"HB 934 PN 3166, A9023, COSTA AMENDMENT NO. A-9023",551,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9081, BOSCOLA AMENDMENT NO. A-9081",550,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,Y,N,Y,N
"HB 934 PN 3166, A9062, BOSCOLA AMENDMENT NO. A-9062",549,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9048, STACK AMENDMENT NO. A-9048",548,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9043, STACK AMENDMENT NO. A-9043",547,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,Y,Y,Y,N,N,N,N
"HB 934 PN 3166, A9047, STACK AMENDMENT NO. A-9047",546,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9020, KASUNIC AMENDMENT NO. A-9020",545,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9078, FONTANA AMENDMENT NO. A-9078",544,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9017, LEACH AMENDMENT NO. A-9017",543,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9025, WILLIAMS AMENDMENT NO. A-9025",542,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9032, KITCHEN AMENDMENT NO. A-9032",541,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9040, WILLIAMS AMENDMENT NO. A-9040",540,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9080, WILLIAMS AMENDMENT NO. A-9080",539,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9079, WILLIAMS AMENDMENT NO. A-9079",538,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
"HB 934 PN 3166, A9036, SCHWANK AMENDMENT NO. A-9036",537,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,Y,N
"HB 934 PN 3166, A9050, WILLIAMS AMENDMENT NO. A-9050",536,2012-03-07,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,N,Y,Y,N,N,N,N
